Pro_Code1,Pro_Code,Dis_Code1,Dis_Code,Vill_Code1,Vill_Code,Village_Code,Vill_Name,Village_Status,HH_Total,People_Total,Women_Total,Etnhics_Majority,Project,Road_Access,Name_HC,Facility_code,Km_HC,Name_DH,Km_DH,Name_PH,Km_PH,Avg_HH_Size,Poor_HH,Expost_Code,Village_Town,HEF_Members1,SHEF_Members,DH_catg,Mem_Year
15,15,1,1501,43,043,1501043,  ®û¾­ ¸ñ¤§É¾¤,,78,532,270,2,3,1,KK-HC,28,18,SEK-PH,15,SK-PH,, 6.8 ,,332,, 89 ,17%,C. 11-20,2014
15,15,1,1501,44,044,1501044,  ®û¾­ ­Õ¹¼¤Ã¹¨È,,54,536,240,2,3,1,KK-HC,28,15,SEK-PH,22,SK-PH,, 9.9 ,,333,, 136 ,25%,D. 21-50,2014
15,15,1,1501,45,045,1501045,  ®û¾­ ª½­õ´ 4 £÷É´,,77,644,224,2,1,1,BP-HC,29,22,SEK-PH,32,SK-PH,, 8.4 ,,334,, 297 ,46%,D. 21-50,2014
15,15,2,1502,1,001,1502001,   ®û¾­ Á¡É¤¡¼­,,161,905,368,2,1,1,DH,26,0,DH,0.5,SK-PH,73, 5.6 ,,335,1, 74 ,8%,A. 0-3,2014
15,15,2,1502,2,002,1502002,   ®É¾­ Á¡É¤¡÷¨,,246,1371,709,2,1,1,DH,26,2,DH,0,SK-PH,73, 5.6 ,,336,1, 286 ,21%,A. 0-3,2014
15,15,2,1502,3,003,1502003,   ®û¾­ ê‰¤¡¾¨,,40,269,120,2,3,1,DH,26,14,DH,6,SK-PH,60, 6.7 ,,337,, 269 ,100%,B. 4-10,2014
15,15,2,1502,4,004,1502004,   ®û¾­ ¯¾¡Ä§,,27,219,86,2,3,1,DH,26,16,DH,7,SK-PH,65, 8.1 ,,338,, 219 ,100%,B. 4-10,2014
15,15,2,1502,5,005,1502005,   ®û¾­ ¡½ì÷¤,,34,165,88,2,3,,DH,26,,,19,SK-PH,, 4.9 ,,339,, 165 ,100%,C. 11-20,2014
15,15,2,1502,6,006,1502006,   ®û¾­ ®¾¡,,27,189,67,2,3,1,DH,26,12,DH,20,SK-PH,, 7.0 ,,340,, 189 ,100%,C. 11-20,2014
15,15,2,1502,7,007,1502007,   ®É¾­ ¯º¨Œª¾ª½ì¾¤ÃÏÈ,,49,327,149,2,3,1,DH,26,8,DH,23,SK-PH,, 6.7 ,,341,, 327 ,100%,D. 21-50,2014
15,15,2,1502,8,008,1502008,   ®É¾­ ¡½©ð,,36,170,92,2,3,2,DH,26,30,,39,SK-PH,, 4.7 ,,342,, 170 ,100%,D. 21-50,2014
15,15,2,1502,10,010,1502010,   ®û¾­ ªù¾¡,,45,247,99,2,3,1,DH,26,10,DH,4,SK-PH,, 5.5 ,,343,, 247 ,100%,B. 4-10,2014
15,15,2,1502,11,011,1502011,   ®û¾­ ¹¾©Á¯½,,41,226,106,2,3,1,DH,26,15,DH,15,SK-PH,, 5.5 ,,344,, 226 ,100%,C. 11-20,2014
15,15,2,1502,12,012,1502012,   ®û¾­ ¯¾¡Äªù,,37,168,70,2,3,1,DH,26,13,DH,20,SK-PH,, 4.5 ,,345,, 168 ,100%,C. 11-20,2014
15,15,2,1502,13,013,1502013,   ®û¾­ ¹¾Îº¤ÀÎõº,,33,130,72,2,3,,DH,26,,DH,24,SK-PH,, 3.9 ,,346,, 130 ,100%,D. 21-50,2014
15,15,2,1502,14,014,1502014,   ®û¾­ ¹¾©¸ó,,29,110,127,2,3,2,DH,26,25,DH,35,SK-PH,, 3.8 ,,347,, 110 ,100%,D. 21-50,2014
15,15,2,1502,15,015,1502015,   ®ÉÉ¾­ ¥ó¤,,44,224,96,2,3,,DH,26,17,,15,SK-PH,, 5.1 ,,348,, 224 ,100%,C. 11-20,2014
15,15,2,1502,16,016,1502016,   ®û¾­ ¦º¤£º­,,88,442,213,2,3,,DH,26,20,,12,SK-PH,, 5.0 ,,349,, 442 ,100%,C. 11-20,2014
15,15,2,1502,17,017,1502017,   ®û¾­ ¥½ìº¡,,39,224,92,2,3,2,DH,26,22,,21,SK-PH,, 5.7 ,,350,, 224 ,100%,D. 21-50,2014
15,15,2,1502,18,018,1502018,   ®û¾­ Âì¨,,37,186,68,2,3,2,DH,26,19,,17,SK-PH,, 5.0 ,,351,, 186 ,100%,C. 11-20,2014
15,15,2,1502,20,020,1502020,   ®û¾­ ±¾¡¹É¸¨Œ¡½Âì{Á¥½,,72,384,178,2,3,,DH,26,,,24,SK-PH,, 5.3 ,,352,, 384 ,100%,D. 21-50,2014
15,15,2,1502,21,021,1502021,   ®û¾­ ªó­Œªõ´,,25,145,113,2,3,1,JL=HC,26a,8,,30,SK-PH,, 5.8 ,,353,, 145 ,100%,D. 21-50,2014
15,15,2,1502,22,022,1502022,   ®û¾­ ¸ñ¡ÀÎõº,,36,313,151,2,3,,DH,26,35,,33,SK-PH,, 8.7 ,,354,, 313 ,100%,D. 21-50,2014
15,15,2,1502,23,023,1502023,   ®û¾­ ¸ñ¡ÃªÉ,,28,131,55,2,3,,DH,26,32,,32,SK-PH,, 4.7 ,,355,, 131 ,100%,D. 21-50,2014
15,15,2,1502,25,025,1502025,   ®û¾­ ªñ¤¯½,,39,179,127,2,3,,JL=HC,26a,21,,46,SK-PH,, 4.6 ,,356,, 179 ,100%,D. 21-50,2014
15,15,2,1502,26,026,1502026,   ®û¾­ ªñ¤¯ñ¤,,44,230,113,2,3,,JL=HC,26a,13,,47,SK-PH,, 5.2 ,,357,, 230 ,100%,D. 21-50,2014
15,15,2,1502,29,029,1502029,   ®û¾­ º¾»ñ¤,,13,120,141,2,3,2,DH,26,80,,63,SK-PH,, 9.2 ,,358,, 120 ,100%,E. 51-100,2014
15,15,2,1502,30,030,1502030,   ®û¾­ ¯½ª¾ù¤,,34,327,154,2,3,2,DH,26,93,,63,SK-PH,, 9.6 ,,359,, 327 ,100%,E. 51-100,2014
15,15,2,1502,32,032,1502032,   ®û¾­ ¡ñ­©º­,,26,131,58,2,3,,DH,26,,,65,SK-PH,, 5.0 ,,360,, 131 ,100%,E. 51-100,2014
15,15,2,1502,33,033,1502033,   ®û¾­ ª½´ð,,29,229,103,2,3,,DH,26,65,,63,SK-PH,, 7.9 ,,361,, 229 ,100%,E. 51-100,2014
15,15,2,1502,35,035,1502035,   ®û¾­ ª½­ô¤Œ¸¾¤,,52,265,127,2,3,,DH,26,35,,57,SK-PH,, 5.1 ,,362,, 265 ,100%,E. 51-100,2014
15,15,2,1502,36,036,1502036,   ®û¾­ Â©­,,20,126,56,2,3,,DH,26,62,,45,SK-PH,, 6.3 ,,363,, 126 ,100%,D. 21-50,2014
15,15,2,1502,37,037,1502037,   ®û¾­ Äì¯ð,,28,197,103,2,3,,DH,26,67,,50,SK-PH,, 7.0 ,,364,, 197 ,100%,E. 51-100,2014
15,15,2,1502,38,038,1502038,   ®û¾­ Â¯´,,29,207,109,2,3,,DH,26,70,,53,SK-PH,, 7.1 ,,365,, 207 ,100%,E. 51-100,2014
15,15,2,1502,39,039,1502039,   ®û¾­ Âì½­Éº¨,,30,184,92,2,3,,DH,26,75,,60,SK-PH,, 6.1 ,,366,, 184 ,100%,E. 51-100,2014
15,15,2,1502,40,040,1502040,   ®û¾­ Âì½Ã¹È¨,,40,336,140,2,3,,DH,26,79,,61,SK-PH,, 8.4 ,,367,, 336 ,100%,E. 51-100,2014
15,15,2,1502,43,043,1502043,   ®û¾­ ª½ì÷¨,,35,236,132,2,3,,DH,26,,,80,SK-PH,, 6.7 ,,368,, 236 ,100%,E. 51-100,2014
15,15,2,1502,45,045,1502045,   ®û¾­ Â¯ë½ŒÁì´Œ¦½º¾¤,,22,151,152,2,3,,DH,26,,,80,SK-PH,, 6.9 ,,369,, 151 ,100%,E. 51-100,2014
15,15,2,1502,46,046,1502046,   ®û¾­ º¾ìº¤Œº¾À¯,,39,279,157,2,3,,DH,26,18,,65,SK-PH,, 7.2 ,,370,, 279 ,100%,E. 51-100,2014
15,15,2,1502,47,047,1502047,   ®É¾­ ºø¤,,26,231,99,2,3,,DH,26,,,62,SK-PH,, 8.9 ,,371,, 231 ,100%,E. 51-100,2014
15,15,2,1502,48,048,1502048,   ®û¾­ º¾À¨õº¤Œº¾À¸ó­,,44,341,81,2,3,,DH,26,,,63,SK-PH,, 7.8 ,,372,, 341 ,100%,E. 51-100,2014
15,15,2,1502,49,049,1502049,   ®û¾­ Â®®ò¤Œª½ìº¤,,27,326,173,2,3,,DH,26,8,,67,SK-PH,, 12.1 ,,373,, 326 ,100%,E. 51-100,2014
15,15,2,1502,50,050,1502050,   ®û¾­ ¯½Àì,,49,216,104,2,3,,DH,26,,,102,SK-PH,, 4.4 ,,374,, 216 ,100%,F. 100+,2014
15,15,2,1502,54,054,1502054,û   ®É¾­ º¾Âì©,,36,239,139,2,3,,DH,26,91,,63,SK-PH,, 6.6 ,,375,, 239 ,100%,E. 51-100,2014
15,15,2,1502,62,062,1502062,   ®û¾­ Â¡ù,,62,305,104,2,3,,JJL-HC,26a,8,,100,SK-PH,, 4.9 ,,376,, 305 ,100%,E. 51-100,2014
